Homolog, Bit Score
0, 14.2
0, 21.5
0, 14.2
0, 10.6
0, 12.2
0, 20.2
0, 17.0
0, 9.9
0, 12.3
0, 17.7
0, 13.0
0, 9.7
0, 14.0
0, 17.7
0, 14.1
0, 8.5
0, 15.4
0, 0
0, 13.9
0, 13.5
0, 15.9
0, 0
0, 18.2
0, 10.5
0, 12.8
0, 17.4
0, 13.6
0, 13.4
0, 10.6
0, 16.0
0, 12.2
0, 10.4
0, 18.8
0, 0
0, 16.3
0, 13.1
0, 13.5
0, 19.0
0, 11.1
0, 13.9
0, 18.9
0, 9.6
0, 0
0, 15.1
0, 12.5
0, 7.2
0, 14.0
0, 0
0, 15.6
0, 19.0
0, 12.8
0, 0
0, 12.9
0, 0
0, 0
0, 17.0
0, 13.0
0, 0
0, 16.3
0, 0
0, 0
0, 15.9
0, 12.4
0, 11.7
0, 13.4
0, 9.9
0, 12.1
0, 10.6
0, 16.9
0, 0
0, 0
0, 0
0, 10.4
0, 15.4
0, 14.8
0, 0
0, 14.2
0, 14.6
0, 15.5
0, 14.2
0, 11.0
0, 20.3
0, 14.6
0, 16.9
0, 15.7
0, 17.3
0, 13.7
0, 9.2
0, 13.0
0, 0
0, 18.4
0, 0
0, 12.8
0, 0
0, 21.1
0, 0
0, 11.5
0, 16.2
0, 12.3
0, 15.1
0, 13.3
0, 21.6
0, 15.8
0, 0
0, 12.2
0, 12.8
0, 21.4
0, 17.9
0, 15.5
0, 0
0, 10.4
0, 14.4
0, 13.8
0, 13.3
0, 0
0, 0
0, 10.8
0, 15.2
0, 11.2
0, 15.2
0, 12.2
0, 0
0, 14.8
0, 13.6
0, 14.3
0, 9.8
0, 0
0, 9.4
0, 13.3
0, 17.1
0, 18.7
0, 11.0
0, 17.7
0, 11.0
0, 13.2
0, 13.9
0, 14.0
0, 13.3
0, 11.1
0, 15.1
0, 19.4
0, 8.9
0, 14.3
0, 0
0, 14.3
0, 18.6
0, 18.4
0, 19.8
0, 16.2
0, 17.8
0, 14.0
0, 0
0, 0
0, 13.3
0, 0
0, 16.4
0, 0
0, 20.6
0, 14.0
0, 19.0
0, 17.6
0, 0
0, 16.1
0, 21.5
0, 14.0
0, 0
0, 16.9
0, 12.9
0, 13.0
0, 0
0, 16.0
0, 13.3
0, 0
0, 15.0
0, 17.4
0, 10.3
0, 16.9
0, 18.7
0, 13.1
0, 12.7
0, 10.7
0, 16.5
0, 10.6
0, 0
0, 12.2
0, 9.4
0, 13.0
0, 14.8
0, 13.1
0, 15.5
0, 23.3
0, 10.0
0, 14.3
0, 16.7
0, 15.0
0, 16.0
0, 10.6
0, 12.9
0, 0
0, 14.8
0, 10.3
0, 9.9
0, 14.1
0, 15.3
0, 0
0, 15.3
0, 19.2
0, 0
0, 0
0, 11.4
0, 14.8
0, 17.2
0, 13.8
0, 11.9
0, 0
0, 15.3
0, 12.6
0, 14.5
0, 0
0, 10.9
0, 17.4
0, 13.2
0, 17.9
0, 10.4
0, 21.0
0, 13.7
0, 0
0, 13.5
0, 14.5
0, 10.2
0, 0
0, 11.4
0, 0
0, 0
0, 17.0
0, 13.6
0, 11.9
0, 13.1
0, 13.2
0, 0
0, 14.9
0, 0
0, 0
0, 17.4
0, 19.8
0, 15.1
0, 11.3
0, 0
0, 0
0, 13.1
0, 18.5
0, 16.0
0, 11.7
0, 13.5
0, 13.7
0, 14.6
0, 17.8
0, 16.9
0, 12.9
0, 15.0
0, 14.0
0, 12.0
0, 0
0, 14.5
0, 17.8
0, 19.0
0, 0
0, 21.5
0, 16.6
0, 18.8
0, 11.8
0, 14.7
0, 12.2
0, 17.9
0, 13.2
0, 13.9
0, 12.9
0, 11.2
0, 18.5
0, 0
0, 0
0, 12.3
0, 14.1
0, 0
0, 0
0, 14.9
0, 15.7
0, 16.8
0, 14.7
0, 16.2
0, 10.9
0, 11.9
0, 16.7
0, 18.7
0, 10.8
0, 0
0, 0
0, 10.6
0, 12.9
0, 12.3
0, 0
0, 14.3
0, 13.2
0, 0
0, 14.0
0, 16.0
0, 17.9
0, 14.4
0, 0
0, 15.8
0, 13.9
0, 11.2
0, 19.3
0, 0
0, 14.0
0, 23.4
0, 11.4
0, 12.4
0, 0
0, 11.9
0, 13.9
0, 15.7
0, 0
0, 14.4
0, 13.7
0, 13.5
0, 0
0, 21.2
0, 14.7
0, 12.3
0, 15.3
0, 0
0, 0
0, 18.0
0, 16.5
0, 18.1
0, 15.7
0, 17.4
0, 12.7
0, 15.5
0, 19.2
0, 13.1
0, 15.1
0, 12.6
0, 19.6
0, 17.1
0, 17.7
0, 12.3
0, 12.6
0, 16.1
0, 13.7
0, 12.8
0, 0
0, 10.4
0, 15.2
0, 0
0, 10.5
0, 13.1
0, 18.3
0, 14.6
0, 16.4
0, 24.1
0, 20.2
0, 10.6
0, 20.3
0, 18.8
0, 15.8
0, 14.1
0, 0
0, 19.3
0, 15.8
0, 0
0, 14.3
0, 18.3
0, 16.8
0, 15.9
0, 0
0, 0
0, 19.9
0, 14.0
0, 15.2
0, 16.2
0, 16.8
0, 13.4
0, 18.9
0, 15.8
0, 15.6
0, 10.2
0, 12.6
0, 14.5
0, 17.3
0, 0
0, 17.5
0, 12.7
0, 14.1
0, 15.7
0, 17.7
0, 14.3
0, 12.3
0, 18.5
0, 15.3
0, 0
0, 16.5
0, 0
0, 14.5
0, 13.8
0, 14.7
0, 12.9
0, 14.9
0, 15.9
0, 17.8
0, 14.9
0, 10.7
0, 9.4
0, 12.9
0, 12.8
0, 13.0
0, 18.7
0, 12.1
0, 11.1
0, 16.2
0, 12.1
0, 11.9
0, 13.0
0, 0
0, 14.1
0, 0
0, 14.8
0, 10.6
0, 0
0, 15.1
0, 14.5
0, 10.5
0, 11.4
0, 13.0
0, 14.7
0, 14.2
0, 0
0, 17.4
0, 19.1
0, 11.1
0, 14.0
0, 0
0, 12.4
0, 0
0, 14.0
0, 10.7
0, 0
0, 11.5
0, 11.1
0, 15.4
0, 0
0, 12.4
0, 13.7
0, 16.6
0, 20.6
0, 0
0, 12.6
0, 10.9
0, 0
0, 15.7
0, 16.2
0, 12.8
0, 0
0, 13.2
0, 10.2
0, 20.6
0, 32.5
0, 17.2
0, 15.8
0, 13.0
0, 19.1
0, 16.5
0, 11.8
0, 12.3
0, 17.1
0, 0
0, 13.3
0, 0
0, 0
0, 11.6
0, 16.7
0, 21.0
0, 12.1
0, 0
0, 0
0, 11.9
0, 15.1
0, 11.3
0, 16.6
0, 0
0, 0
0, 14.5
0, 14.8
0, 16.8
0, 11.2
0, 15.5
0, 0
0, 0
0, 15.4
0, 0
0, 14.4
0, 0
0, 16.8
0, 15.0
0, 14.3
0, 0
0, 0
0, 14.7
0, 11.6
0, 17.9
0, 10.9
0, 12.5
0, 0
0, 0
0, 11.8
0, 0
0, 15.1
0, 15.5
0, 0
0, 13.9
0, 17.1
0, 0
0, 16.3
0, 16.8
0, 16.2
0, 16.1
0, 13.3
0, 0
0, 13.3
0, 17.3
0, 12.9
0, 0
0, 10.3
0, 13.7
0, 18.1
0, 16.8
0, 17.8
0, 18.2
0, 10.8
0, 13.5
0, 12.1
0, 15.8
0, 10.0
0, 10.1
0, 11.6
0, 13.6
0, 16.7
0, 0
0, 11.2
0, 11.7
0, 11.5
0, 14.3
0, 0
0, 13.9
0, 16.0
0, 11.5
0, 0
0, 10.5
0, 17.7
0, 14.3
0, 11.0
0, 13.3
0, 18.1
0, 11.4
0, 14.2
0, 9.3
0, 17.8
0, 15.6
0, 16.3
0, 15.5
0, 17.1
0, 14.6
0, 11.2
0, 12.1
0, 19.0
0, 14.3
0, 13.1
0, 13.6
0, 16.1
0, 0
0, 14.4
0, 0
0, 11.5
0, 16.0
0, 0
0, 0
0, 15.7
0, 15.8
0, 12.1
0, 15.0
0, 13.3
0, 12.0
0, 18.0
0, 16.6
0, 12.6
0, 12.0
0, 14.0
0, 15.5
0, 11.5
0, 17.4
0, 14.6
0, 12.0
0, 19.9
0, 23.2
0, 13.4
0, 15.0
0, 10.6
0, 14.8
0, 15.0
0, 13.0
0, 10.5
0, 0
0, 0
0, 0
0, 0
0, 10.7
0, 0
0, 14.9
0, 23.2
0, 0
0, 18.0
0, 11.7
0, 15.3
0, 15.8
0, 16.6
0, 12.7
0, 0
0, 0
0, 0
0, 14.7
0, 18.8
0, 10.7
0, 11.9
0, 13.5
0, 12.8
0, 17.4
0, 12.9
0, 15.0
0, 15.7
0, 14.4
0, 12.4
0, 10.9
0, 0
0, 21.9
0, 12.0
0, 8.8
0, 21.3
0, 0
0, 14.0
0, 0
0, 12.6
0, 13.5
0, 0
0, 15.4
0, 12.1
0, 0
0, 12.5
0, 10.7
0, 16.2
0, 14.2
0, 13.1
0, 16.4
0, 11.3
0, 15.3
0, 0
0, 11.4
0, 16.8
0, 15.0
0, 18.3
0, 15.7
0, 15.9
0, 13.1
0, 14.8
0, 0
0, 15.1
0, 0
0, 15.5
0, 14.8
0, 16.1
0, 12.0
0, 14.5
0, 19.7
0, 9.8
0, 16.4
0, 11.8
0, 16.4
0, 13.2
0, 13.6
0, 0
0, 22.6
0, 0
0, 19.4
0, 13.4
0, 15.7
0, 10.3
0, 14.0
0, 16.9
0, 0
0, 15.8
0, 17.5
0, 11.8
0, 11.9
0, 0
0, 0
0, 13.1
0, 0
0, 15.5
0, 21.1
0, 13.0
0, 0
0, 11.5
0, 0
0, 19.1
0, 16.0
0, 16.7
0, 19.4
0, 18.5
0, 13.1
0, 10.8
0, 12.5
0, 18.8
0, 11.1
0, 0
0, 0
0, 12.5
0, 0
0, 21.1
0, 12.9
0, 13.9
0, 11.2
0, 0
0, 13.2
0, 15.9
0, 17.9
0, 12.2
0, 12.5
0, 10.3
0, 18.7
0, 12.8
0, 15.3
0, 12.7
0, 14.8
0, 12.9
0, 12.6
0, 10.3
0, 0
0, 15.5
0, 13.0
0, 16.1
0, 0
0, 0
0, 13.9
0, 12.8
0, 14.6
0, 14.9
0, 15.5
0, 10.0
0, 10.3
0, 13.9
0, 16.2
0, 0
0, 14.0
0, 16.6
0, 15.3
0, 14.9
0, 14.2
0, 18.9
0, 14.5
0, 14.9
0, 14.3
0, 0
0, 26.1
0, 14.3
0, 13.8
0, 12.6
0, 17.7
0, 18.6
0, 14.3
0, 11.8
0, 18.5
0, 0
0, 12.6
0, 15.9
0, 19.7
0, 10.2
0, 16.6
0, 0
0, 13.3
0, 14.5
0, 13.7
0, 18.0
0, 14.1
0, 14.0
0, 10.9
0, 0
0, 0
0, 13.5
0, 0
0, 12.8
0, 12.3
0, 15.4
0, 12.7
0, 0
0, 13.8
0, 9.3
0, 17.5
0, 18.4
0, 0
0, 13.0
0, 16.6
0, 16.4
0, 17.4
0, 13.7
0, 12.5
0, 13.7
0, 11.1
0, 12.5
0, 16.8
0, 16.0
0, 12.5
0, 14.1
0, 10.7
0, 13.5
0, 0
0, 12.2
0, 14.1
0, 0
0, 9.6
0, 13.2
0, 10.4
0, 14.9
0, 15.1
0, 14.5
0, 14.6
0, 0
0, 16.9
0, 10.9
0, 10.3
0, 14.8
0, 11.6
0, 0
0, 12.8
0, 10.8
0, 0
0, 20.1
0, 17.1
0, 13.3
0, 12.2
0, 14.2
0, 17.6
0, 11.7
0, 16.9
0, 13.5
0, 14.8
0, 13.2
0, 15.3
0, 0
0, 12.5
0, 0
0, 18.7
0, 16.5
0, 15.0
0, 15.4
0, 16.0
0, 16.8
0, 12.4
0, 13.8
0, 0
0, 15.4
0, 14.8
0, 12.2
0, 21.0
0, 15.3
0, 16.9
0, 15.2
0, 15.6
0, 16.1
0, 13.7
0, 14.5
0, 13.0
0, 12.7
0, 0
0, 11.0
0, 13.7
0, 16.6
0, 17.3
0, 0
0, 13.2
0, 0
0, 16.0
0, 12.3
0, 16.6
0, 0
0, 16.0
0, 0
0, 13.1
0, 11.8
0, 10.6
0, 0
0, 15.8
0, 16.3
0, 0
0, 10.6
0, 11.5
0, 13.2
0, 12.5
0, 18.3
0, 15.7
0, 15.6
0, 0
0, 18.0
0, 12.8
0, 21.8
0, 0
0, 16.9
0, 0
0, 11.2
0, 16.9
0, 12.8
0, 10.9
0, 11.8
0, 14.5
0, 15.4
0, 15.1
0, 16.4
0, 16.1
0, 15.5
0, 11.9
0, 10.6
0, 12.8
0, 12.1
0, 15.5
0, 15.0
0, 14.6
0, 15.6
0, 13.2
0, 16.6
0, 12.7
0, 11.4
0, 12.9
0, 0
0, 13.1
0, 14.2
0, 16.1
0, 18.8
0, 0
0, 16.8
0, 15.8
0, 11.2
0, 13.1
0, 13.7
0, 0
0, 14.5
0, 8.9
0, 18.5
0, 0
0, 12.4
0, 10.0
0, 16.8
0, 0
0, 0
0, 15.4
0, 16.2
0, 13.6
0, 16.2
0, 11.7
0, 15.0
0, 16.1
0, 22.8
0, 15.2
0, 9.6
0, 15.7
0, 10.0
0, 19.4
0, 14.6
0, 23.3
0, 12.9
0, 10.7
0, 13.6
0, 19.6
0, 17.0
0, 19.7
0, 11.2
0, 13.4
0, 19.1
0, 16.1
0, 12.3
0, 0
0, 15.1
0, 16.5
0, 0
0, 12.6
0, 12.8
0, 0
0, 15.5
0, 12.1
0, 15.4
0, 13.6
0, 0
0, 14.5
0, 13.6
0, 14.1
0, 11.7
0, 16.4
0, 13.3
0, 17.4
0, 0
0, 14.7
0, 0
0, 19.9
0, 12.2
0, 15.3
0, 15.7
0, 20.4
0, 0
0, 13.0
0, 11.5
0, 15.2
0, 0
0, 11.5
0, 0
0, 0
0, 12.0
0, 17.0
0, 0
0, 14.8
0, 13.3
0, 13.7
0, 0
0, 16.4
0, 16.4
0, 16.2
0, 11.9
0, 10.5
0, 18.1
0, 0
0, 14.4
0, 13.1
0, 14.2
0, 13.9
0, 12.2
0, 0
0, 16.0
0, 16.0
0, 15.4
0, 13.5
0, 13.4
0, 18.4
0, 14.4
0, 15.6
0, 13.4
0, 13.6
0, 16.8
0, 14.9
0, 0
0, 0
0, 18.8
0, 0
0, 0
0, 13.3
0, 0
0, 17.5
0, 0
0, 15.7
0, 19.2
0, 18.4
0, 11.6
0, 0
0, 18.9
0, 16.9
0, 14.0
0, 12.4
0, 14.0
0, 12.8
0, 11.1
0, 12.0
0, 11.3
0, 12.0
0, 10.1
0, 15.2
0, 14.1
0, 12.0
0, 15.7
0, 11.3
0, 12.7
0, 14.6
0, 0
0, 11.5
0, 13.8
0, 11.8
0, 0
0, 19.4
0, 0
0, 14.3
0, 15.3
0, 0
0, 12.5
0, 0
0, 12.7
0, 12.2
0, 11.4
0, 17.5
0, 13.4
0, 13.3
0, 11.4
0, 11.1
0, 16.7
0, 11.0
0, 12.4
0, 16.3
0, 10.5
0, 21.4
0, 13.7
0, 10.2
0, 12.9
0, 10.9
0, 9.3
0, 13.4
0, 20.1
0, 0
0, 17.2
0, 19.3
0, 12.9
0, 19.6
0, 12.3
0, 10.4
0, 13.7
0, 12.4
0, 13.1
0, 10.0
0, 11.5
0, 0
0, 16.6
0, 17.9
0, 15.3
0, 0
0, 14.6
0, 0
0, 0
0, 13.6
0, 14.9
0, 0
0, 0
0, 0
0, 0
0, 15.1
0, 21.1
0, 16.3
0, 0
0, 12.0
0, 19.2
0, 11.3
0, 17.5
0, 21.6
0, 12.2
0, 13.6
0, 12.4
0, 12.1
0, 16.1
0, 14.3
0, 0
0, 18.3
0, 16.5
0, 19.3
0, 26.7
0, 15.7
0, 12.9
0, 16.9
0, 13.5
0, 16.5
0, 16.6
0, 18.1
0, 18.9
0, 0
0, 13.2
0, 18.1
0, 0
0, 0
0, 12.2
0, 14.8
0, 10.0
0, 12.9
0, 18.9
0, 16.3
0, 16.6
0, 9.3
0, 17.0
0, 13.6
0, 0
0, 16.0
0, 14.2
0, 14.9
0, 21.4
0, 14.8
0, 16.8
0, 9.4
0, 13.9
0, 16.8
0, 0
0, 0
0, 11.2
0, 14.7
0, 0
0, 19.8
0, 13.2
0, 16.7
0, 8.8
0, 13.1
0, 13.6
0, 0
0, 13.2
0, 10.6
0, 15.2
0, 20.0
0, 13.6
0, 15.7
0, 17.8
0, 13.7
0, 15.9
0, 14.5
0, 14.2
0, 10.3
0, 23.3
0, 0
0, 0
0, 11.5
0, 12.6
0, 19.2
0, 13.8
0, 11.9
0, 8.9
0, 13.6
0, 26.8
0, 9.9
0, 0
0, 12.3
0, 0
0, 16.3
0, 12.8
0, 21.1
0, 11.7
0, 15.0
0, 14.5
0, 11.3
0, 13.8
0, 15.7
0, 12.2
0, 10.4
0, 16.0
0, 14.1
0, 15.9
0, 12.9
0, 16.7
0, 17.2
0, 11.4
0, 8.4
0, 20.2
0, 14.1
0, 16.7
0, 15.1
0, 16.2
0, 0
0, 18.0
0, 15.7
0, 15.0
0, 18.8
0, 0
0, 11.9
0, 14.2
0, 11.0
0, 13.9
0, 15.3
0, 16.8
0, 15.6
0, 0
0, 0
0, 12.9
0, 0
0, 14.5
0, 17.6
0, 17.2
0, 12.9
0, 16.4
0, 17.7
0, 0
0, 16.4
0, 11.2
0, 16.2
0, 0
0, 12.0
0, 15.4
0, 15.1
0, 0
0, 17.0
0, 13.9
0, 0
0, 17.6
0, 13.0
0, 12.5
0, 16.0
0, 16.2
0, 15.0
0, 11.3
0, 0
0, 11.0
0, 11.4
0, 12.3
0, 15.1
0, 13.8
0, 12.9
0, 13.6
0, 12.8
0, 11.8
0, 21.8
0, 0
0, 19.0
0, 19.6
0, 18.7
0, 10.4
0, 12.3
0, 10.1
0, 12.0
0, 17.1
0, 11.5
0, 16.1
0, 18.2
0, 14.7
0, 12.5
0, 12.7
0, 15.9
0, 14.7
0, 15.2
0, 15.2
0, 13.5
0, 16.5
0, 12.4
0, 17.7
0, 0
0, 14.2
0, 12.9
0, 16.9
0, 12.7
0, 18.3
0, 14.9
0, 13.8
0, 14.3
0, 13.5
0, 11.7
0, 19.4
0, 17.2
0, 11.2
0, 0
0, 13.4
0, 0
0, 14.5
0, 11.8
0, 13.2
0, 14.2
0, 15.7
0, 10.1
0, 0
0, 14.7
0, 17.5
0, 14.4
0, 0
0, 16.4
0, 19.0
0, 19.9
0, 9.6
0, 19.9
0, 12.5
0, 13.6
0, 14.1
0, 16.2
0, 12.1
0, 13.9
0, 13.8
0, 15.8
0, 13.4
0, 13.1
0, 13.8
0, 13.4
0, 26.0
0, 11.7
0, 14.5
0, 0
0, 0
0, 9.8
0, 12.7
0, 14.6
0, 24.1
0, 13.6
0, 17.9
0, 16.2
0, 13.0
0, 14.0
0, 12.1
0, 22.3
0, 0
0, 11.6
0, 0
0, 0
0, 12.4
0, 24.1
0, 17.4
0, 15.9
0, 12.1
0, 0
0, 15.4
0, 0
0, 11.9
0, 9.4
0, 0
0, 0
0, 0
0, 12.4
0, 15.8
0, 13.5
0, 10.2
0, 10.4
0, 14.7
0, 16.3
0, 13.4
0, 13.2
0, 19.7
0, 16.3
0, 10.7
0, 14.4
0, 7.8
0, 12.7
0, 19.3
0, 9.9
0, 13.1
0, 0
0, 15.4
0, 0
0, 15.0
0, 0
0, 16.3
0, 9.2
0, 12.4
0, 0
0, 14.3
0, 12.4
0, 11.7
0, 19.0
0, 15.0
0, 14.8
0, 0
0, 17.5
0, 0
0, 15.6
0, 0
0, 15.4
0, 13.2
0, 17.4
0, 18.1
0, 13.5
0, 15.3
0, 11.5
0, 13.3
0, 10.2
0, 16.8
0, 15.0
0, 0
0, 10.7
0, 0
0, 16.7
0, 13.8
0, 14.5
0, 0
0, 13.4
0, 17.1
0, 20.8
0, 11.9
0, 18.3
0, 16.4
0, 11.5
0, 13.6
0, 23.1
0, 21.1
0, 16.8
0, 16.8
0, 18.2
0, 25.7
0, 13.2
0, 14.7
0, 14.2
0, 11.5
0, 15.9
0, 14.5
0, 0
0, 18.5
0, 12.4
0, 21.0
0, 0
0, 14.0
0, 13.0
0, 16.1
0, 13.2
0, 0
0, 0
0, 17.6
0, 17.4
0, 18.7
0, 12.6
0, 0
0, 16.1
0, 0
0, 10.9
0, 12.8
0, 13.4
0, 9.7
0, 10.9
0, 11.5
0, 12.2
0, 12.3
0, 17.5
0, 0
0, 0
0, 20.9
0, 0
0, 18.8
0, 14.1
0, 12.7
0, 12.3
0, 16.7
0, 15.3
0, 19.2
0, 0
0, 13.6
0, 24.7
0, 19.5
0, 14.6
0, 0
0, 13.6
0, 14.5
0, 11.7
0, 15.0
0, 17.3
0, 14.7
0, 13.2
0, 13.7
0, 13.5
0, 13.5
0, 14.3
0, 25.1
0, 0
0, 0
0, 12.9
0, 17.3
0, 0
0, 15.2
0, 14.0
0, 14.8
0, 13.6
0, 12.8
0, 21.9
0, 17.3
0, 0
0, 17.0
0, 9.8
0, 18.5
0, 13.2
0, 10.6
0, 10.6
0, 11.9
0, 8.5
0, 16.1
0, 12.9
0, 14.5
0, 0
0, 16.3
0, 14.8
0, 10.0
0, 15.7
0, 17.2
0, 12.5
0, 10.7
0, 11.5
0, 15.2
0, 0
0, 15.0
0, 13.9
0, 0
0, 21.3
0, 13.3
0, 10.6
0, 12.1
0, 18.4
0, 14.7
0, 10.1
0, 9.9
0, 12.3
0, 17.5
0, 14.9
0, 15.7
0, 15.1
0, 15.8
0, 12.9
0, 12.9
0, 0
0, 9.8
0, 15.9
0, 14.9
0, 16.9
0, 13.3
0, 12.0
0, 12.4
0, 22.7
0, 22.9
0, 17.0
0, 15.8
0, 14.5
0, 0
0, 19.7
0, 18.7
0, 14.3
0, 12.2
0, 21.1
0, 26.2
0, 16.4
0, 11.7
0, 13.8
0, 11.4
0, 0
0, 17.4
0, 14.4
0, 15.9
0, 14.9
0, 19.1
0, 11.7
0, 15.5
0, 15.5
0, 13.8
0, 8.8
0, 12.7
0, 12.4
0, 12.9
0, 12.6
0, 0
0, 16.8
0, 9.6
0, 9.5
0, 10.6
0, 13.7
0, 14.6
0, 15.3
0, 20.5
0, 14.9
0, 0
0, 10.9
0, 16.3
0, 19.6
0, 0
0, 0
0, 10.7
0, 16.6
0, 13.0
0, 15.4
0, 15.1
0, 32.2
0, 11.7
0, 16.0
0, 0
0, 13.7
0, 14.1
0, 15.3
0, 18.5
0, 13.1
0, 14.9
0, 14.2
0, 14.8
0, 13.7
0, 14.4
0, 16.4
0, 14.3
0, 20.1
0, 0
0, 12.8
0, 13.5
0, 0
0, 12.3
0, 15.4
0, 17.6
0, 19.8
0, 14.5
0, 19.2
0, 17.2
0, 14.2
0, 13.0
0, 13.6
0, 0
0, 13.3
0, 20.1
0, 0
0, 15.0
0, 16.4
0, 14.3
0, 24.3
0, 15.1
0, 0
0, 11.8
0, 12.0
0, 19.3
0, 14.7
0, 11.6
0, 12.2
0, 17.4
0, 14.7
0, 21.4
0, 17.7
0, 10.0
0, 0
0, 9.1
0, 0
0, 13.5
0, 14.9
0, 15.8
0, 13.4
0, 15.4
0, 9.7
0, 20.0
0, 19.2
0, 16.6
0, 16.0
0, 0
0, 14.2
0, 19.4
0, 11.8
0, 13.7
0, 0
0, 0
0, 18.9
0, 21.2
0, 13.8
0, 13.0
0, 16.5
0, 10.4
0, 13.6
0, 14.6
0, 12.9
0, 20.1
0, 16.0
0, 16.7
0, 24.3
0, 9.8
0, 0
0, 0
0, 20.5
0, 17.2
0, 13.2
0, 0
0, 0
0, 22.8
0, 15.8
0, 0
0, 10.4
0, 0
0, 16.9
0, 15.9
0, 16.2
0, 17.9
0, 17.9
0, 23.2
0, 15.3
0, 0
0, 17.0
0, 13.6
0, 16.1
0, 10.7
0, 13.9
0, 15.5
0, 12.5
0, 13.7
0, 0
0, 18.1
0, 0
0, 15.8
0, 11.7
0, 14.0
0, 0
0, 16.8
0, 13.8
0, 12.1
0, 12.6
0, 10.6
0, 12.0
0, 11.8
0, 17.5
0, 11.3
0, 11.9
0, 18.5
0, 0
0, 12.7
0, 0
0, 14.8
0, 16.8
0, 15.8
0, 12.7
0, 0
0, 15.5
0, 0
0, 11.9
0, 17.5
0, 14.2
0, 14.8
0, 13.6
0, 13.9
0, 13.2
0, 17.4
0, 16.2
0, 12.0
0, 11.4
0, 13.5
0, 0
0, 23.4
0, 20.1
0, 14.1
0, 9.6
0, 17.6
0, 17.0
0, 12.4
0, 15.3
0, 13.1
0, 13.9
0, 15.0
0, 16.8
0, 19.9
0, 11.0
0, 14.6
0, 0
0, 0
0, 15.9
0, 0
0, 18.7
0, 12.8
0, 13.9
0, 14.0
0, 10.8
0, 0
0, 14.9
0, 18.5
0, 14.9
0, 11.5
0, 16.8
0, 14.1
0, 0
0, 17.3
0, 15.7
0, 14.2
0, 14.0
0, 11.6
0, 14.5
0, 20.1
0, 12.3
0, 16.3
0, 11.1
0, 15.5
0, 11.7
0, 20.8
0, 0
0, 0
0, 19.3
0, 11.6
0, 11.9
0, 14.8
0, 12.9
0, 14.4
0, 14.2
0, 15.1
0, 16.3
0, 15.6
0, 12.2
0, 15.6
0, 0
0, 13.3
0, 16.9
0, 0
0, 14.7
0, 16.0
0, 14.2
0, 17.1
0, 15.6
0, 0
0, 11.8
0, 0
0, 12.9
0, 0
0, 16.2
0, 0
0, 14.8
0, 15.0
0, 14.0
0, 14.1
0, 13.1
0, 0
0, 13.5
0, 11.8
0, 13.0
0, 18.3
0, 11.9
0, 12.9
0, 0
0, 15.3
0, 10.4
0, 0
0, 16.9
0, 13.8
0, 18.9
0, 10.4
0, 21.8
0, 12.1
0, 14.3
0, 15.7
0, 22.5
0, 21.1
0, 12.3
0, 13.7
0, 15.9
0, 0
0, 0
0, 17.2
0, 10.2
0, 19.7
0, 0
0, 16.0
0, 17.5
0, 11.6
0, 16.0
0, 11.6
0, 14.5
0, 16.2
0, 19.1
0, 17.9
0, 0
0, 14.3
0, 12.6
0, 0
0, 20.9
0, 15.4
0, 11.2
0, 13.7
0, 12.2
0, 16.8
0, 0
0, 11.8
0, 0
0, 15.6
0, 0
0, 18.6
0, 13.6
0, 22.6
0, 13.9
0, 15.2
0, 14.0
0, 16.9
0, 12.2
0, 15.8
0, 15.3
0, 17.1
0, 13.0
0, 13.7
0, 17.8
0, 15.0
0, 11.2
0, 13.9
0, 16.5
0, 19.2
0, 12.8
0, 14.0
0, 14.8
0, 11.2
0, 9.6
0, 0
0, 11.8
0, 13.8
0, 15.3
0, 11.7
0, 12.8
0, 19.0
0, 12.0
0, 9.4
0, 20.4
0, 11.5
0, 13.2
0, 17.5
0, 11.7
0, 0
0, 14.5
0, 14.9
0, 13.9
0, 13.8
0, 11.6
0, 18.7
0, 10.5
0, 12.9
0, 11.2
0, 11.0
0, 17.1
0, 22.8
0, 14.5
0, 11.3
0, 0
0, 11.2
0, 12.7
0, 11.6
0, 14.7
0, 0
0, 0
0, 11.9
0, 16.8
0, 16.5
0, 15.3
0, 15.5
0, 15.0
0, 9.4
0, 19.4
0, 0
0, 17.0
0, 18.0
0, 12.7
0, 0
0, 17.8
0, 0
0, 11.3
0, 15.8
0, 17.4
0, 13.4
0, 14.8
0, 8.0
0, 11.5
0, 16.4
0, 10.1
0, 19.7
0, 15.2
0, 15.4
0, 16.5
0, 12.8
0, 9.5
0, 14.1
0, 18.3
0, 12.3
0, 14.8
0, 11.2
0, 11.5
0, 12.2
0, 19.7
0, 13.8
0, 24.7
0, 15.7
0, 14.5
0, 15.6
0, 0
0, 21.1
0, 0
0, 10.6
0, 11.3
0, 0
0, 12.6
0, 17.4
0, 18.0
0, 24.5
0, 9.9
0, 18.0
0, 20.3
0, 13.7
0, 16.9
0, 0
0, 12.5
0, 15.5
0, 13.3
0, 11.7
0, 10.6
0, 0
0, 0
0, 13.0
0, 0
0, 12.2
0, 12.9
0, 9.8
0, 0
0, 11.8
0, 0
0, 17.4
0, 14.0
0, 24.6
0, 12.3
0, 11.5
0, 13.7
0, 17.1
0, 0
0, 15.9
0, 0
0, 16.2
0, 7.9
0, 10.5
0, 19.5
0, 0
0, 0
